"";"Volkswagen Golf 4 Benzin tuv 2018/8";"1 300 EUR";"https://secureimg.ebayimg.com/i/00/s/MjQyWDQzMA==/z/OZEAAOSw6DtYRGsC/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/MjQyWDQzMA==/z/LwsAAOSwEzxYRGr-/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MjQyWDQzMA==/z/f1YAAOSw4GVYRGr-/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MjQyWDQzMA==/z/EhEAAOSwnHZYRGr~/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MjQyWDQzMA==/z/OW4AAOSw6DtYRGsB/$_21.JPG";"СЕДАН";"Подержанные";"11/1999";"";"Бензиновый";"118 647 км";""
"";"Mercedes-Benz E 300 CDI T BE*7G-TR*1HD*COMAND*StandH*PDC*XENON";"22 480 EUR";"https://secureimg.ebayimg.com/i/00/s/NzY4WDEwMjQ=/z/DcgAAOSw2GlXIlOx/$_21.JPG";"";"УНИВЕРСАЛ";"Подержанные";"09/2012";"";"Дизельный";"110 800 км";""
"";"Audi A3 1.4 TFSI Sportback Attraction";"8 500 EUR";"https://secureimg.ebayimg.com/i/00/s/OTAwWDE2MDA=/z/rmQAAOSw-0xYRGhR/$_21.JPGhttps://secureimg.ebayimg.com/i/00/s/MzI1WDE4Mg==/z/EYEAAOSwnHZYRGr6/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/OTAwWDE2MDA=/z/5qMAAOSwo4pYRGg6/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/OTAwWDE2MDA=/z/rAYAAOSwnHZYRGhG/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/OTAwWDE2MDA=/z/x3sAAOSwEzxYRGhl/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/OTAwWDE2MDA=/z/rmQAAOSw-0xYRGhR/$_21.JPG";"УНИВЕРСАЛ";"Подержанные";"03/2009";"Механическая коробка передач";"Бензиновый";"94 000 км";"92 кВт (125 PS)"
"";"Renault renault twingo (LPG) auto Gas anlage";"3 999 EUR";"https://secureimg.ebayimg.com/i/00/s/MzI1WDE4Mg==/z/EYEAAOSwnHZYRGr6/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/MzI1WDE4Mg==/z/jIUAAOSwcUBYRGr7/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MjQyWDQzMA==/z/FeUAAOSwiDFYRGr9/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MjQyWDQzMA==/z/TRcAAOSwj85YRGr7/$_21.JPG";"МАЛОЛИТРАЖНЫЙ АВТОМОБИЛЬ";"Подержанные";"07/2008";"";"Сжиженный нефтяной газ";"118 000 км";""
"";"Rover MG ZT 190 Kombi mit TUV bis 2018 mit Hagel…";"1 700 EUR";"https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/riQAAOSwa~BYRGr5/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/F4IAAOSwImRYRGr5/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/OGMAAOSw6DtYRGr5/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/riQAAOSwa~BYRGr5/$_21.JPG";"УНИВЕРСАЛ";"Подержанные";"11/2003";"";"Бензиновый";"165 000 км";""
"";"Porsche 911 Carrera";"28 800 EUR";"https://secureimg.ebayimg.com/i/00/s/OTA2WDE2MDA=/z/s~UAAOSw-0xYRGh7/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/MTA2N1gxNjAw/z/tpQAAOSwnHZYRGiI/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MTA2N1gxNjAw/z/eCQAAOSwux5YRGiV/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MTA2N1gxNjAw/z/cpAAAOSwA3dYRGik/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MTA2N1gxNjAw/z/fykAAOSwux5YRGjR/$_21.JPG";"СПОРТИВНЫЙ АВТОМОБИЛЬ/КУПЕ";"Новые";"08/2002";"Механическая коробка передач";"Бензиновый";"80 500 км";"235 кВт (320 PS)"
"";"Mercedes-Benz 500 SE";"1 990 EUR";"https://secureimg.ebayimg.com/i/00/s/MTYwMFgxMTk1/z/A7MAAOSwB09YRGIS/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/MTYwMFgxMTk1/z/BgIAAOSwB09YRGIg/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MTYwMFgxMTk1/z/fcMAAOSwa~BYRGI-/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MTYwMFgxMTk1/z/4akAAOSw-0xYRGJV/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MTYwMFgxMTk1/z/MUEAAOSw4GVYRGJl/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MTYwMFgxMTk1/z/wGAAAOSwux5YRGLR/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MTYwMFgxMTk1/z/i-YAAOSw2xRYRGLq/$_21.JPG";"СЕДАН";"Новые";"05/1980";"Автоматическая КП";"Бензиновый";"174 026 км";"177 кВт (241 PS)"
"";"MINI ich Verkauf Mini one";"2 899 EUR";"https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/UYMAAOSwo4pYRGr1/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/EMMAAOSwnHZYRGr1/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/-tMAAOSw5cNYRGr1/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/-tUAAOSw5cNYRGr1/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/-tkAAOSw5cNYRGr1/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/FNIAAOSwiDFYRGr1/$_21.JPG";"ИНОЕ";"Подержанные";"12/2001";"";"Бензиновый";"144 348 км";""
"";"Skoda Skoda Fabia 1.4 16V";"1 500 EUR";"https://secureimg.ebayimg.com/i/00/s/MzI1WDM3Mg==/z/X38AAOSw6DtYRHIk/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/MzI1WDIwOA==/z/gKkAAOSwj85YRHIl/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/3ZcAAOSwcUBYRHIk/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzI1WDI0NA==/z/pmoAAOSw4GVYRHIk/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzI1WDI0NA==/z/eAoAAOSwB09YRHIk/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/MzIzWDQzMA==/z/RR0AAOSwnHZYRHIk/$_21.JPG";"МАЛОЛИТРАЖНЫЙ АВТОМОБИЛЬ";"Подержанные";"06/2006";"";"Бензиновый";"215 500 км";""
"";"Opel Astra G Coupe 2.o Turbo Z20LEH Technik 241PS";"5 000 EUR";"https://secureimg.ebayimg.com/i/00/s/NTY1WDEwMDA=/z/34AAAOSwPCVX6Qzs/$_21.JPG";"https://secureimg.ebayimg.com/i/00/s/NTY1WDEwMDA=/z/ARQAAOSwmfhX6Qzc/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/NTY1WDEwMDA=/z/1bIAAOSw8w1X6Qz7/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/NTY1WDEwMDA=/z/pvUAAOSw4shX6Q0K/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/NTY1WDEwMDA=/z/NzAAAOSw8gVX6Q0Z/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/NTY1WDEwMDA=/z/EpgAAOSwYIxX6Q0o/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/NTY1WDEwMDA=/z/6OEAAOSw8w1X6Q1Y/$_21.JPG;https://secureimg.ebayimg.com/i/00/s/NTY1WDEwMDA=/z/60AAAOSw8w1X6Q1m/$_21.JPG";"СПОРТИВНЫЙ АВТОМОБИЛЬ/КУПЕ";"Подержанные";"10/2001";"Механическая коробка передач";"Бензиновый";"135 000 км";"177 кВт (241 PS)"
